OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
44,点,513,824,4835822121,蘭芳園 茶餐廳, , , , , , , ,"addr:housenumber=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""amenity""=>""restaurant"",""name:en""=>""Lan Fong Yuen"",""name:zh""=>""蘭芳園 茶餐廳"",""opening_hours""=>""Mo-Su 10:30-21:30""",22.296347,114.172524,1,1
45,点,515,509,2938367968,Super Guesthouse, , , , , , , ,"addr:door=>""12A5"",""addr:floor""=>""12/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""12"",""tourism""=>""guest_house""",22.296349,114.172455,1,1
46,点,519,2299,10880216047, , ,crossing, , , , , ,"crossing=>""uncontrolled"",""tactile_paving""=>""yes""",22.296355,114.170622,1,1
47,点,521,2526,11542446363, , ,crossing, , , , , ,"button_operated=>""yes"",""crossing""=>""traffic_signals"",""tactile_paving""=>""yes"",""traffic_signals:sound""=>""yes"",""traffic_signals:vibration""=>""yes""",22.296357,114.171225,1,1
48,点,523,1563,6176025486,滬江飯店 Wu Kong Shanghai Restaurant, , , , , , , ,"amenity=>""restaurant"",""cuisine""=>""chinese"",""level""=>""-1"",""name:en""=>""Wu Kong Shanghai Restaurant"",""name:zh""=>""滬江飯店""",22.296364,114.171997,1,1
49,点,524,498,2938367957,New Peking Guesthouse, , , , , , , ,"addr:door=>""12A2"",""addr:floor""=>""12/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""12"",""tourism""=>""guest_house""",22.296365,114.172453,1,1
50,点,525,928,4848178723,龍城藥妝 Lung Shing Medicine, , , , , , , ,"name:en=>""Lung Shing Medicine"",""name:zh""=>""龍城藥妝"",""shop""=>""chemist""",22.296371,114.172063,1,1
51,点,526,112,1649047800, , ,traffic_signals, , , , , , ,22.296374,114.171109,1,1
52,点,528,503,2938367962,Peking Guesthouse, , , , , , , ,"addr:door=>""12A1,6"",""addr:floor""=>""12/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""12"",""tourism""=>""guest_house""",22.29638,114.172452,1,1
53,点,532,49,1158360093, , ,traffic_signals, , , , , , ,22.296391,114.171272,1,1
54,点,534,506,2938367965,Sandhu New UK Hostel, , , , , , , ,"addr:door=>""17A9"",""addr:floor""=>""17/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""17"",""tourism""=>""hostel""",22.296394,114.172603,1,1
55,点,536,505,2938367964,Rhine Guesthouse, , , , , , , ,"addr:door=>""11A8"",""addr:floor""=>""11/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""11"",""tourism""=>""guest_house""",22.296394,114.17245,1,1
56,点,537,1862,7077374177, , ,traffic_signals,K002, , , , ,"crossing=>""separate"",""crossing:separate""=>""traffic_signals"",""junction""=>""separate"",""traffic_signals""=>""signal""",22.2964,114.172204,1,1
57,点,538,2262,10875906379, , , , , , , , ,"entrance=>""yes""",22.296402,114.170049,1,1
58,点,540,2308,10880216123,Foot Locker, , , , , , , ,"addr:housenumber=>""7"",""addr:street""=>""亞士厘道 Ashley Road"",""brand""=>""Foot Locker"",""brand:wikidata""=>""Q63335"",""name:en""=>""Foot Locker"",""shop""=>""shoes""",22.296404,114.170511,1,1
59,点,542,496,2938367955,New International Guesthouse, , , , , , , ,"addr:door=>""11A6-7,9"",""addr:floor""=>""11/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""11"",""tourism""=>""guest_house""",22.296407,114.172449,1,1
60,点,543,2525,11542446362, , ,crossing, , , , , ,"button_operated=>""yes"",""crossing""=>""traffic_signals"",""tactile_paving""=>""yes"",""traffic_signals:sound""=>""yes"",""traffic_signals:vibration""=>""yes""",22.296408,114.171138,1,1
61,点,544,493,2938367952,Kyoto Guesthouse, , , , , , , ,"addr:door=>""15A3,8"",""addr:floor""=>""15/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""15"",""tourism""=>""guest_house""",22.296414,114.172552,1,1
62,点,545,995,4849781083,太子珠寶鐘錶 Prince Jewellery & Watch, , , , , , , ,"addr:street=>""北京道 Peking Road"",""disused:shop""=>""jewelry"",""name:en""=>""Prince Jewellery & Watch"",""name:zh""=>""太子珠寶鐘錶""",22.296416,114.17075,1,1
63,点,546,998,4849781086,必勝客 Pizza Hut, , , , , , , ,"addr:street=>""北京道 Peking Road"",""brand""=>""必勝客 Pizza Hut"",""brand:en""=>""Pizza Hut"",""brand:wikidata""=>""Q191615"",""brand:wikipedia""=>""zh:必胜客"",""brand:zh""=>""必勝客"",""brand:zh-Hans""=>""必胜客"",""brand:zh-Hant""=>""必勝客"",""cuisine""=>""pizz",22.296422,114.1708,1,1
64,点,548,489,2938367948,Fortunate Guesthouse, , , , , , , ,"addr:door=>""11A2"",""addr:floor""=>""11/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""11"",""tourism""=>""guest_house""",22.296426,114.172448,1,1
65,点,549,501,2938367960,Park Guesthouse, , , , , , , ,"addr:door=>""15A1-2"",""addr:floor""=>""15/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""15"",""tourism""=>""guest_house""",22.296429,114.172552,1,1
66,点,550,1432,4930301821,神山麵屋 Kanzan Menya, , , , , , , ,"amenity=>""restaurant"",""cuisine""=>""japanese"",""name:en""=>""Kanzan Menya"",""name:zh""=>""神山麵屋"",""ref:openrice""=>""719154"",""website""=>""https://www.ajisen.com.hk""",22.296433,114.170887,1,1
67,点,553,1859,7077374174, , , , , , , , ,"access=>""yes"",""entrance""=>""main""",22.296436,114.172409,1,1
68,点,555,999,4849781087,AL Luxury, , , , , , , ,"addr:street=>""北京道 Peking Road"",""shop""=>""bag""",22.296439,114.170943,1,1
69,点,556,1866,7077374181, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""lowered"",""tactile_paving""=>""yes""",22.296441,114.172176,1,1
70,点,558,1865,7077374180, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""lowered"",""tactile_paving""=>""yes""",22.296442,114.172133,1,1
71,点,561,125,1950794665,麥當勞 McDonald's, , , , , , , ,"addr:housenumber=>""12"",""addr:street""=>""北京道 Peking Road"",""amenity""=>""fast_food"",""brand""=>""麥當勞 McDonald's"",""brand:en""=>""McDonald's"",""brand:wikidata""=>""Q38076"",""brand:wikipedia""=>""zh:麦当劳"",""brand:zh""=>""麥當勞"",""brand:zh-Hans""=>""麦当K",22.296443,114.170977,1,1
72,点,562,497,2938367956,New Mandarin Guesthouse, , , , , , , ,"addr:door=>""8A9"",""addr:floor""=>""8/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""8"",""tourism""=>""guest_house""",22.296443,114.172446,1,1
73,点,563,491,2938367950,Hawaii Guesthouse, , , , , , , ,"addr:door=>""14A6-7"",""addr:floor""=>""14/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""14"",""tourism""=>""guest_house""",22.296443,114.172551,1,1
74,点,568,1000,4849781088,Adidas Originals, , , , , , , ,"addr:street=>""北京道 Peking Road"",""brand""=>""Adidas Originals"",""brand:wikidata""=>""Q4682711"",""clothes""=>""sports"",""shop""=>""clothes""",22.296449,114.171034,1,1
75,点,572,511,2938367970,Tokyo Guesthouse, , , , , , , ,"addr:door=>""14A5"",""addr:floor""=>""14/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""14"",""tourism""=>""guest_house""",22.296456,114.172551,1,1
76,点,574,495,2938367954,New Asia Guesthouse, , , , , , , ,"addr:door=>""8A6-7"",""addr:floor""=>""8/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""8"",""tourism""=>""guest_house""",22.296461,114.172444,1,1
77,点,581,490,2938367949,Four Season Guesthouse, , , , , , , ,"addr:door=>""14A2"",""addr:floor""=>""14/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""14"",""tourism""=>""guest_house""",22.296473,114.17255,1,1
