name,lat,lon,alt,rot,date
788,22.29743803,114.1715493,8.674875259,4.036300659,2023
795,22.29643082,114.172178,6.945292473,206.2331543,2023
807,22.29725961,114.1715597,8.377449036,5.348632813,2023
813,22.29768544,114.1724624,8.522130013,273.186676,2023
815,22.29697023,114.1706308,9.391589165,86.22948456,2023
816,22.2969776,114.17073,9.166635513,96.54989624,2023
833,22.29745321,114.1704844,11.25975227,10.55795288,2023
839,22.29750528,114.1713327,8.776784897,184.6178284,2021
840,22.29781005,114.1715185,9.558115005,3.406188965,2023
842,22.29753992,114.170641,11.80975151,9.77204895,2021
844,22.29699466,114.170092,10.13367367,18.15905762,2023
848,22.29718473,114.1722582,7.768035889,3.932861328,2023
851,22.29712055,114.1713738,7.354361057,192.3526917,2021
852,22.29677013,114.1722857,7.317553997,3.770767212,2023
853,22.29717787,114.1711187,8.906489372,184.4396057,2023
860,22.29708918,114.1722647,7.61030674,3.639068604,2023
861,22.29804353,114.1700264,8.243479729,93.43108368,2023
863,22.29698743,114.1708298,8.94591713,96.64102936,2023
864,22.29754869,114.1704718,11.68129539,3.18347168,2023
868,22.29750907,114.1721166,8.551409721,183.256073,2022
869,22.29666121,114.1704665,7.412048817,280.114624,2021
873,22.29769768,114.1704363,11.91063309,199.5863342,2023
876,22.29699375,114.1705545,9.633898735,181.1057739,2023
877,22.29768093,114.1723683,8.532719612,273.7298279,2023
881,22.29726409,114.1711119,9.185113907,184.2941895,2023
886,22.29721167,114.169835,6.405828953,19.21704102,2021
889,22.29804854,114.1701243,8.37477684,93.32239532,2023
899,22.29665795,114.1702094,8.77511692,18.15481567,2023
901,22.29686037,114.1722793,7.36533165,3.443145752,2023
902,22.29799725,114.1720826,9.144699097,183.4744263,2022
906,22.29803024,114.1715062,9.804836273,1.314834595,2023
909,22.29769529,114.1713201,8.929225922,189.6297302,2021
914,22.29757223,114.1710883,9.681596756,184.1780701,2023
917,22.29775383,114.1710771,9.750055313,184.9971924,2023
919,22.29734622,114.1707549,11.95555019,95.02042389,2021
920,22.29771761,114.1697456,13.22870731,198.0847778,2023
922,22.29807396,114.1705602,9.092308998,94.03412628,2023
923,22.29776642,114.1722132,8.825274467,3.729354858,2023
926,22.29686828,114.1721756,7.108735085,187.1799927,2022
931,22.29740748,114.172241,8.148163795,3.860641479,2023
934,22.29780883,114.1720954,9.036882401,183.634613,2022
939,22.29769261,114.1726071,8.451539993,272.9776917,2023
942,22.29719112,114.1699276,11.13351059,197.1779785,2023
943,22.29785573,114.1725976,7.548445225,187.0011902,2021
947,22.29745094,114.172237,8.242761612,3.998672485,2023
952,22.29798846,114.1710569,9.804430008,184.8101807,2023
953,22.29668052,114.1722021,6.903970718,185.2889099,2022
954,22.29784737,114.1710688,9.771024704,184.7707214,2023
959,22.29816153,114.1719862,9.504004478,92.38166046,2023
960,22.29806626,114.1704291,8.85800457,93.91213226,2023
961,22.29717547,114.170808,9.279267311,359.6389618,2021
962,22.29813003,114.1714387,9.933509827,94.05284882,2023
965,22.2980959,114.1708857,9.615994453,93.95914459,2023
972,22.2967451,114.1708642,6.887292385,46.27311707,2021
975,22.29697039,114.1715827,7.901732445,4.080505371,2023
978,22.29759013,114.1721112,8.671692848,183.4552917,2022
989,22.29756051,114.1697098,6.340214252,22.3837738,2021
995,22.29814991,114.171793,9.673954964,94.18557739,2023
1000,22.29811829,114.1712506,9.941541672,93.46409607,2023
